gene	loeuf	pli
CREBRF	0.1	0.99997
HDAC2	0.1	0.99997
SP1	0.1	0.99997
MAPK8IP2	0.1	0.99997
AP2A1	0.101	1.0
ARCN1	0.101	0.99997
SPTAN1	0.101	1.0
RPTOR	0.101	1.0
CAND1	0.101	1.0
COPS2	0.101	0.99997
SALL4	0.101	0.99997
CACNA1C	0.102	1.0
ARID1B	0.102	1.0
PSMD2	0.102	1.0
PSMD3	0.102	0.99997
KMT2D	0.103	1.0
UBAP2L	0.103	1.0
ZNF148	0.103	0.99997
BTK	0.103	0.99996
RRM1	0.103	1.0
PPP2R5E	0.103	0.99997
RFX3	0.104	1.0
BIRC6	0.104	1.0
LMNB2	0.104	0.99996
CLTC	0.104	1.0
COPA	0.105	1.0
COL1A1	0.105	1.0
DHX15	0.105	1.0
DHX9	0.105	1.0
MAP2	0.105	1.0
ZMYM3	0.106	1.0
AGO2	0.106	1.0
ANK2	0.106	1.0
RALGAPB	0.106	1.0
IPO7	0.106	1.0
PRPF19	0.106	0.99995
SCAF4	0.106	1.0
TBL1XR1	0.106	0.99995
ZCCHC11	0.107	1.0
ZCCHC6	0.107	1.0
ANKRD11	0.107	1.0
PAFAH1B1	0.107	0.99995
ZEB2	0.107	1.0
AP2A2	0.108	1.0
SMU1	0.108	0.99994
NAA25	0.108	1.0
UBA1	0.108	1.0
BAZ1B	0.109	1.0
HNRNPH1	0.109	0.99993
VPRBP	0.109	1.0
CTIF	0.109	0.99994
ABCB7	0.109	0.99994
UTP15	0.11	0.99993
SETBP1	0.11	1.0
ARID5B	0.11	1.0
RBM10	0.11	1.0
TPR	0.111	1.0
RCOR1	0.111	0.99992
SUFU	0.111	0.99992
TRPS1	0.111	1.0
MTA1	0.111	1.0
RUVBL2	0.111	0.99992
EIF4G3	0.112	1.0
MDM4	0.112	0.99992
NTRK2	0.112	1.0
ANKHD1	0.112	1.0
ANKHD1-EIF4EBP3	0.112	1.0
RORB	0.112	0.99991
TIAL1	0.112	0.99992
NRXN3	0.112	1.0
PTPRD	0.112	1.0
WAPAL	0.112	1.0
RBM26	0.112	1.0
RIF1	0.113	1.0
NLK	0.113	0.99991
PHIP	0.113	1.0
LPHN2	0.113	1.0
DPYSL5	0.113	0.99991
USP8	0.113	1.0
TIPARP	0.113	0.99991
ZBTB4	0.113	0.99991
ISY1	0.114	0.9999
HNRNPU	0.114	1.0
TLK2	0.114	1.0
TRERF1	0.114	1.0
DHX30	0.115	1.0
MYCBP2	0.115	1.0
FUBP1	0.115	1.0
TRIM24	0.115	1.0
ZC3H7A	0.115	1.0
UBXN7	0.116	0.99988
SLC17A7	0.116	0.99988
NOTCH2	0.116	1.0
SMARCC1	0.116	1.0
RAI1	0.116	1.0
CSE1L	0.117	1.0
EIF4A1	0.117	0.99987
PIK3CA	0.117	1.0
KIF5C	0.117	1.0
REV3L	0.117	1.0
AGPS	0.117	1.0
ADAM10	0.117	1.0
MED1	0.117	1.0
SMARCC2	0.117	1.0
MYRF	0.117	1.0
DOT1L	0.118	1.0
CHAF1A	0.118	1.0
PSMD1	0.118	1.0
SRRM2	0.118	1.0
PIAS4	0.118	0.99986
ACTR3	0.118	0.99986
DDX3X	0.118	0.99986
TSC1	0.118	1.0
SON	0.118	1.0
WHSC1	0.119	1.0
TCEB3	0.119	1.0
STAG1	0.119	1.0
ATRX	0.119	1.0
VCPIP1	0.119	1.0
EIF4A3	0.119	0.99985
MAU2	0.119	1.0
PSMC2	0.119	0.99985
DAZAP1	0.119	0.99985
POGZ	0.119	1.0
PRKAR1A	0.119	0.99985
SF3A3	0.119	1.0
FXR1	0.119	1.0
CDC42BPB	0.12	1.0
XPO7	0.12	1.0
RARB	0.12	0.99983
RERE	0.12	1.0
ZMYND11	0.12	1.0
RPL4	0.12	0.99984
SUPT16H	0.12	1.0
ZBTB47	0.12	0.99983
PRRC2C	0.121	1.0
PPFIA3	0.121	1.0
ATP1A1	0.121	1.0
KIF11	0.121	1.0
NCOA2	0.121	1.0
HIPK1	0.121	1.0
KIAA0430	0.121	1.0
ARMCX4	0.122	1.0
KMT2C	0.122	1.0
PIK3AP1	0.122	1.0
SEMA4C	0.122	1.0
CYTH1	0.122	0.99981
RBM17	0.122	0.99981
RTF1	0.122	1.0
IPO5	0.122	1.0
NUP98	0.122	1.0
TRAF2	0.123	0.99979
EIF4B	0.123	0.99999
ADNP	0.123	1.0
RET	0.123	1.0
TEAD1	0.123	0.9998
CCDC22	0.123	0.99979
SHANK3	0.123	1.0
CACNA1E	0.124	1.0
PRMT5	0.124	0.99999
JADE3	0.124	0.99978
WDR5	0.124	0.99978
CUL4A	0.124	0.99999
PCLO	0.124	1.0
ZNF219	0.124	0.99977
GAPVD1	0.125	1.0
EPC1	0.125	1.0
KCNB1	0.125	0.99977
NLGN2	0.126	0.99974
PCDH19	0.126	0.99975
DDX17	0.126	0.99999
RB1	0.126	1.0
WNK1	0.126	1.0
ZC3H18	0.126	1.0
CDK12	0.126	1.0
HECTD4	0.127	1.0
RALGPS1	0.127	0.99999
TNRC6C	0.127	1.0
SCN2A	0.127	1.0
SOBP	0.127	0.99972
VCP	0.127	0.99999
TLN1	0.128	1.0
BTAF1	0.128	1.0
EPHA7	0.128	1.0
COL4A1	0.128	1.0
SIK3	0.128	1.0
KAT6B	0.128	1.0
KAT7	0.128	0.99999
ZFR	0.128	1.0
GSE1	0.128	1.0
GSK3A	0.128	0.9997
L1CAM	0.129	1.0
CTNNB1	0.129	0.99999
PBRM1	0.129	1.0
PRICKLE1	0.129	0.99999
PUM1	0.129	1.0
AHCTF1	0.129	1.0
TNPO2	0.129	1.0
AAK1	0.129	1.0
RASA1	0.129	1.0
CDC5L	0.129	1.0
FERMT2	0.13	0.99999
WTAP	0.13	0.99966
UBR3	0.13	1.0
SCN8A	0.13	1.0
FNIP2	0.13	1.0
MSN	0.13	0.99967
PPP1R12A	0.13	1.0
RANBP9	0.13	0.99999
USP47	0.13	1.0
CCDC88A	0.13	1.0
MLLT3	0.131	0.99964
EIF3A	0.131	1.0
YTHDC2	0.131	1.0
KSR2	0.131	1.0
ZMYND8	0.131	1.0
CCNA2	0.132	0.99962
PTPN6	0.132	0.99999
SCML2	0.132	0.99961
SNRK	0.132	0.99961
MINK1	0.132	1.0
IRF6	0.132	0.99961
ZRSR2	0.132	0.99963
RFX7	0.132	1.0
CSTF2	0.133	0.99959
NR4A2	0.133	0.99959
TULP4	0.133	1.0
MAP1B	0.133	1.0
USP42	0.133	1.0
ZNF592	0.133	0.99998
NPAS2	0.133	1.0
ZSWIM8	0.133	1.0
IQSEC2	0.133	0.99998
U2AF2	0.133	0.9996
ITPR1	0.134	1.0
COL2A1	0.134	1.0
NPLOC4	0.134	0.99998
MAPKAPK2	0.134	0.99957
DDX42	0.134	1.0
CACNA1A	0.134	1.0
SUZ12	0.134	0.99998
PHF12	0.135	1.0
DACH1	0.135	0.99954
PORCN	0.135	0.99953
CTR9	0.135	1.0
RBM5	0.135	1.0
NRBP1	0.135	0.99998
TBX5	0.135	0.99954
FRMD4A	0.135	1.0
PTPN11	0.135	0.99998
DLGAP3	0.136	0.99998
HIRA	0.136	1.0
SETD1A	0.136	1.0
NAA35	0.136	1.0
ELMSAN1	0.136	1.0
CACTIN	0.136	0.99998
ARHGEF6	0.136	0.99998
FAM120C	0.136	0.99998
RBM6	0.136	1.0
KIF1A	0.136	1.0
MECOM	0.136	1.0
MBD5	0.136	1.0
MEIS1	0.136	0.99951
INTS6	0.136	1.0
ZFHX3	0.136	1.0
JPH4	0.137	0.99948
SMARCA1	0.137	1.0
HEATR1	0.137	1.0
BAI3	0.138	1.0
SLC12A5	0.138	1.0
TAF3	0.138	0.99997
SHOC2	0.138	0.99946
PSMC1	0.138	0.99945
RBM22	0.138	0.99947
NFKB1	0.138	1.0
AFF4	0.138	1.0
RB1CC1	0.138	1.0
SAFB	0.138	1.0
TRAPPC8	0.138	1.0
ARID4A	0.139	1.0
TRIO	0.139	1.0
YTHDF2	0.139	0.99943
PPFIA2	0.139	1.0
KDM6B	0.14	1.0
SPTB	0.14	1.0
SOS1	0.14	1.0
BAI1	0.14	1.0
AMBRA1	0.14	1.0
UBE2O	0.14	1.0
ZNF292	0.14	1.0
BCOR	0.141	1.0
HDAC5	0.141	1.0
PODXL2	0.141	0.99936
AFTPH	0.141	0.99997
RANBP3	0.141	0.99997
SPAG9	0.142	1.0
FNBP4	0.142	1.0
AGPAT3	0.142	0.99933
RANBP2	0.142	1.0
TKTL1	0.142	0.99933
ZBTB44	0.142	0.99929
WHSC1L1	0.142	1.0
CNOT4	0.143	0.99996
JAG2	0.143	1.0
TFCP2L1	0.143	0.99996
MAOA	0.143	0.99928
SAMD4B	0.143	0.99996
CSNK1E	0.143	0.99926
DNMT1	0.143	1.0
PHEX	0.143	0.99996
ATXN2L	0.143	1.0
XPO4	0.143	1.0
ARFGEF1	0.143	1.0
COPS5	0.144	0.99925
SPOP	0.144	0.99922
CSDE1	0.144	1.0
API5	0.144	0.99996
CUL1	0.144	1.0
DDX46	0.144	1.0
ZFHX4	0.144	1.0
GNB1	0.145	0.9992
HOMER1	0.145	0.9992
ZFPM2	0.145	1.0
AEBP2	0.145	0.99921
NUP85	0.145	1.0
CBLL1	0.145	0.99918
RNF38	0.145	0.99995
BAZ2A	0.146	1.0
JAG1	0.146	1.0
ASXL2	0.146	1.0
SP3	0.146	0.99995
SRRM1	0.146	1.0
MAML1	0.146	0.99995
CCNC	0.146	0.99914
KIF23	0.146	1.0
EZH2	0.146	1.0
RFX4	0.147	0.99999
XRCC5	0.147	0.99999
USP24	0.147	1.0
CHD3	0.147	1.0
HNRNPA1	0.147	0.99911
PPP1CB	0.147	0.99912
FLT4	0.147	1.0
UNC79	0.147	1.0
ZNF217	0.147	0.99995
EFHC2	0.147	0.9991
WBP11	0.148	0.99994
ITPKB	0.148	0.99994
CTCF	0.148	0.99994
ATP2B2	0.148	1.0
MAOB	0.148	0.99903
KLHDC3	0.148	0.99908
PRMT1	0.148	0.99907
TGFB2	0.148	0.99905
DIP2C	0.149	1.0
NFIX	0.149	0.99903
FBXL17	0.149	0.99901
WAS	0.149	0.99901
GCM1	0.149	0.999
YBX2	0.15	0.99896
TLE4	0.15	0.99999
SLC6A1	0.15	0.99993
EBF3	0.15	0.99993
MAPK8IP3	0.15	1.0
AHSA1	0.15	0.99896
PAN3	0.15	0.99999
PKN2	0.15	1.0
ABCD1	0.15	0.99896
SETD1B	0.151	1.0
CLCN4	0.151	0.99893
ARHGEF9	0.151	0.9989
B4GALT5	0.151	0.99889
MSL1	0.151	0.9989
SERPINC1	0.151	0.99892
KALRN	0.152	1.0
CASZ1	0.152	1.0
MARCH6	0.152	1.0
SFPQ	0.152	0.99992
BCORL1	0.152	0.99999
CMIP	0.152	0.99999
PPRC1	0.152	1.0
DDX26B	0.152	0.99992
C11orf30	0.153	1.0
EFEMP1	0.153	0.99992
MAPKAP1	0.153	0.99991
ATP1B1	0.153	0.99881
ELFN1	0.153	0.99882
SMCHD1	0.153	1.0
FBXW2	0.153	0.99877
GGA1	0.153	0.99992
CAMSAP3	0.154	1.0
AHR	0.154	0.99999
DMD	0.154	1.0
PPP1R10	0.154	1.0
HDLBP	0.154	1.0
ZNF609	0.154	1.0
ARHGAP42	0.155	1.0
OCRL	0.155	0.99999
RICTOR	0.155	1.0
ZNF541	0.155	1.0
FASN	0.155	1.0
ATAD2B	0.155	1.0
PCIF1	0.155	0.99999
DENND5B	0.155	1.0
HOOK3	0.155	1.0
ARHGEF2	0.156	1.0
XPR1	0.156	0.99999
INTS10	0.156	0.99999
USP3	0.156	0.99989
MARK2	0.156	0.99999
IKZF1	0.156	0.9986
CDH11	0.156	0.9999
KDM4A	0.156	1.0
RREB1	0.156	1.0
CHD4	0.156	1.0
HIPK2	0.156	1.0
NR2E1	0.156	0.99864
KPNA4	0.156	0.99989
CHD5	0.157	1.0
PLXND1	0.157	1.0
RXRA	0.157	0.99852
LRRC7	0.157	1.0
ZFC3H1	0.157	1.0
UBE4B	0.157	1.0
DOCK3	0.158	1.0
DMXL2	0.158	1.0
PELP1	0.158	0.99998
TXLNG	0.158	0.99845
UNC13A	0.158	1.0
MAT2A	0.158	0.99846
HECTD1	0.158	1.0
KCNQ2	0.158	0.99998
TANC2	0.158	1.0
PPP3CA	0.158	0.99988
LARP4B	0.158	0.99998
EPC2	0.159	0.99998
ROBO2	0.159	1.0
MAST1	0.159	1.0
POLR2A	0.159	1.0
GRIPAP1	0.159	0.99998
PSMD11	0.159	0.99987
TNRC6A	0.159	1.0
ESPL1	0.159	1.0
CUL5	0.159	1.0
FBRS	0.159	0.99987
SAP130	0.159	1.0
ALG13	0.16	0.99998
SMAD5	0.16	0.99838
GNB2L1	0.16	0.99836
SLIT2	0.16	1.0
PPM1A	0.16	0.99834
PPP4R2	0.16	0.99835
GSPT1	0.16	0.99986
PIP4K2B	0.16	0.99837
ZFX	0.16	0.99831
KANSL3	0.16	0.99998
RORC	0.161	0.99985
ZNF800	0.161	0.99985
DPF2	0.161	0.99985
APC	0.161	1.0
FKBP8	0.161	0.99825
OPHN1	0.161	0.99985
USP48	0.161	1.0
KDM6A	0.161	1.0
CAPZA2	0.161	0.99828
NPM1	0.162	0.99816
PSMD12	0.162	0.99984
ZNF131	0.162	0.99983
GPC3	0.162	0.9982
GRAMD4	0.162	0.99998
KIF2A	0.162	0.99998
FGD5	0.162	1.0
CKAP5	0.162	1.0
UPF1	0.162	1.0
UTP14A	0.162	0.99983
CHD1	0.162	1.0
ZBTB2	0.162	0.9982
CPSF6	0.163	0.99982
FAM120A	0.163	1.0
WDR43	0.163	0.99997
CUX1	0.163	1.0
ZNF865	0.163	0.99814
MAPK8IP1	0.163	0.99983
CDK19	0.163	0.99982
NFKB2	0.163	1.0
KDM5A	0.163	1.0
TEX10	0.163	1.0
KIAA0947	0.164	1.0
MDM2	0.164	0.99981
CASKIN1	0.164	1.0
MYC	0.164	0.99801
CLK2	0.164	0.99997
PAX5	0.165	0.99798
ZNF608	0.165	0.99999
DSCAML1	0.165	1.0
CCNJ	0.165	0.99796
CCNK	0.165	0.9998
TLK1	0.165	0.99999
LARP1	0.165	1.0
ARIH1	0.166	0.99997
LRRC4	0.166	0.99787
RBFOX3	0.166	0.99785
ZNF629	0.166	0.99978
KDM5C	0.166	1.0
PHF6	0.166	0.99784
DICER1	0.166	1.0
GRIN2D	0.167	0.99996
RPL5	0.167	0.99776
PHF23	0.167	0.99774
SIPA1L1	0.167	1.0
MYH10	0.167	1.0
GABBR2	0.167	0.99999
CECR2	0.167	1.0
F9	0.167	0.99776
PAK7	0.167	0.99977
USP11	0.167	0.99996
PPP1R9B	0.168	0.99975
SFSWAP	0.168	0.99999
HNF1B	0.168	0.99976
NOP2	0.168	0.99996
TMEM63B	0.168	0.99999
STAU1	0.168	0.99976
ARPC2	0.168	0.99769
CSK	0.168	0.99977
SOX9	0.168	0.99772
NCOR2	0.169	1.0
ANK1	0.169	1.0
ZNF236	0.169	1.0
ABCA2	0.169	1.0
PPP1R16B	0.169	0.99974
RC3H2	0.169	1.0
PAX6	0.169	0.99975
CENPI	0.169	0.99974
ZNF638	0.169	1.0
NACC1	0.169	0.99763
PDGFRA	0.169	1.0
CADM4	0.169	0.99762
ACVR2A	0.17	0.99972
TRIM9	0.17	0.99973
DYRK2	0.17	0.99751
TRPC5	0.17	0.99973
C7orf60	0.17	0.99746
MKL2	0.17	0.99999
GPATCH8	0.17	1.0
ESCO1	0.17	0.99995
GRID2	0.17	1.0
WEE1	0.17	0.99973
MBTPS2	0.17	0.99752
PRPF4B	0.17	1.0
ZNF654	0.17	0.99753
CHD9	0.17	1.0
KIF1B	0.171	1.0
RNF2	0.171	0.99743
DAGLA	0.171	0.99999
MNT	0.171	0.99739
PRKCD	0.171	0.99995
KDM4B	0.171	1.0
CELF1	0.171	0.99971
ANKRD28	0.171	1.0
MEN1	0.171	0.99971
SYVN1	0.171	0.9997
FZR1	0.172	0.99969
ZFP91	0.172	0.9997
ARMC8	0.172	0.99999
CAMTA1	0.172	1.0
LIN54	0.172	0.99994
TRIM71	0.172	0.99969
NKAP	0.172	0.99735
TFAP4	0.172	0.99731
ACVR1B	0.172	0.99969
PSMD4	0.172	0.99726
FBLN5	0.172	0.9997
EEF2	0.172	0.99995
ISY1-RAB43	0.172	0.9997
CFLAR	0.173	0.99967
OTUD5	0.173	0.99717
HIVEP1	0.173	1.0
GTF3C1	0.173	1.0
ENAH	0.173	0.99994
FOXO1	0.173	0.99725
TNRC6B	0.173	1.0
EEF1G	0.173	0.99967
TENM4	0.173	1.0
KLF4	0.174	0.99714
SEC24C	0.174	1.0
CTDSPL2	0.174	0.99966
JADE2	0.174	0.99994
PCGF1	0.174	0.99713
TTC28	0.174	1.0
GATA6	0.174	0.99709
SCN3A	0.174	1.0
PSME3	0.174	0.99714
TET1	0.174	1.0
NUP153	0.174	1.0
CELF2	0.174	0.99965
DDX6	0.174	0.99964
BAG6	0.174	1.0
EPHA4	0.175	1.0
MKLN1	0.175	0.99998
ZMYM4	0.175	1.0
PPP2R5D	0.175	0.99993
ANAPC2	0.175	0.99993
FOXP1	0.175	0.99998
TDRD1	0.175	1.0
MAP4K4	0.175	1.0
MAPK1	0.175	0.99698
NCDN	0.175	0.99964
BSN	0.175	1.0
ADRM1	0.175	0.99704
NCOR1	0.175	1.0
CNOT7	0.176	0.99686
MTM1	0.176	0.99961
BAZ1A	0.176	1.0
ABL1	0.176	0.99998
JAKMIP2	0.176	1.0
ZNF516	0.176	0.99992
PTBP1	0.176	0.99961
CLASP1	0.176	1.0
HTT	0.176	1.0
RELN	0.176	1.0
BRPF1	0.176	1.0
R3HDM2	0.176	1.0
MYO9B	0.177	1.0
PHF2	0.177	1.0
PAPOLA	0.177	0.99998
ZZZ3	0.177	0.99998
EIF4ENIF1	0.177	0.99999
PSME4	0.177	1.0
NCL	0.177	0.99992
GLA	0.177	0.99675
GPHN	0.177	0.99998
BRPF3	0.177	0.99998
MSL3	0.178	0.99665
PRPF8	0.178	1.0
KDM2B	0.178	1.0
AKT3	0.178	0.99958
HIC2	0.178	0.99668
PNISR	0.178	0.99998
DPP10	0.178	0.99999
MGAT5	0.178	0.99998
NKRF	0.178	0.99661
ADRBK1	0.178	0.99998
ZER1	0.178	0.99992
EXOC5	0.178	0.99991
SF3B3	0.178	1.0
SYMPK	0.179	1.0
SPPL3	0.179	0.99656
PKD1	0.179	1.0
TEK	0.179	1.0
G3BP2	0.179	0.99954
ZBTB18	0.179	0.99658
PTPN2	0.179	0.99953
ARHGEF12	0.179	1.0
LAS1L	0.179	0.99955
PLK2	0.18	0.9999
PITPNM2	0.18	1.0
IDS	0.18	0.9964
DST	0.18	1.0
DNM2	0.18	0.99998
PDS5B	0.18	1.0
PTPRT	0.18	1.0
RPL7	0.181	0.99626
TOX3	0.181	0.9995
CENPB	0.181	0.99634
SERBP1	0.181	0.9995
ZRANB2	0.181	0.99949
HCN1	0.181	0.99989
RELA	0.181	0.99948
COPS3	0.181	0.99949
TFDP2	0.181	0.9995
WDR7	0.181	1.0
TNIK	0.181	1.0
ZDHHC17	0.181	0.99989
NOL6	0.182	1.0
NOVA1	0.182	0.99621
LMTK3	0.182	0.99997
ATP5A1	0.182	0.99945
SLC7A3	0.182	0.99614
MLLT10	0.182	1.0
MLLT6	0.182	0.99997
RP11-152F13.10	0.182	0.9961
ATP2C1	0.182	1.0
RNF8	0.183	0.99943
SET	0.183	0.99597
UBE3C	0.183	1.0
SYCP2	0.183	1.0
CIC	0.183	0.99999
ACAN	0.183	1.0
SF1	0.183	0.99943
EPHB2	0.184	0.99997
CSNK2A2	0.184	0.9994
FAT4	0.184	1.0
NAP1L1	0.184	0.99941
MED12L	0.184	1.0
ALAS2	0.184	0.99586
CEP350	0.184	1.0
DDX21	0.184	0.99997
MEIS2	0.184	0.99938
MTF2	0.184	0.99987
MAP3K4	0.184	1.0
SHANK1	0.184	1.0
KLHL2	0.185	0.99985
MTOR	0.185	1.0
PACS1	0.185	0.99999
GLUL	0.185	0.9957
NAV3	0.185	1.0
NCAM1	0.185	0.99999
SARNP	0.185	0.99574
WWC3	0.185	0.99996
LRRC41	0.185	0.99986
CTNND1	0.185	0.99999
LPHN3	0.185	1.0
CNKSR2	0.185	0.99996
FXR2	0.185	0.99996
SYK	0.185	0.99986
PTPN12	0.186	0.99996
PAPD7	0.186	0.99934
PARP6	0.186	0.99996
EEF1A2	0.186	0.99558
HNRNPUL1	0.186	0.99999
ZC3H11A	0.186	0.99996
PRRC2A	0.186	1.0
XKR6	0.186	0.99934
ARID4B	0.187	1.0
EIF3D	0.187	0.99983
NDST1	0.187	0.99995
PTPRF	0.187	1.0
LPHN1	0.187	1.0
ARHGEF7	0.187	0.99995
GPKOW	0.187	0.99553
EED	0.187	0.99929
ZNF423	0.187	0.99996
CUX2	0.187	1.0
NFATC2	0.187	0.99995
STAT1	0.187	0.99999
TMEM108	0.187	0.99555
DIDO1	0.187	1.0
PHF20L1	0.187	1.0
PRDM16	0.187	0.99999
DLL4	0.188	0.99982
SEPT7	0.188	0.99924
CDC73	0.188	0.99995
JARID2	0.188	0.99999
SNRNP70	0.188	0.99926
PRRC2B	0.188	1.0
SOX5	0.188	0.99995
GRIN2A	0.188	0.99998
PLAG1	0.188	0.99532
ASAP1	0.188	1.0
CCT5	0.188	0.99928
CNOT2	0.189	0.99981
ELAVL2	0.189	0.99514
SUGP2	0.189	0.99995
RSPRY1	0.189	0.99981
USP37	0.189	0.99999
NRF1	0.189	0.99922
NFKBIZ	0.189	0.99981
RBBP5	0.189	0.99981
DSCAM	0.189	1.0
TTC7B	0.189	0.99998
PRKD2	0.189	0.99995
PAXBP1	0.19	0.99999
UNK	0.19	0.99994
KIAA2018	0.19	1.0
AP2M1	0.19	0.99919
NOS1	0.19	1.0
CBX2	0.19	0.99503
PPARD	0.19	0.99497
YAP1	0.19	0.99918
ESR1	0.19	0.9992
THRAP3	0.19	0.99998
UBE2Q1	0.19	0.99919
RNF31	0.19	1.0
NYAP1	0.19	0.99917
SCARF2	0.19	0.9998
C20orf112	0.191	0.99496
